funding_total_usd,funding_rounds,years_since_founded,years_since_last_funding,domain_clean,status_failed
6000000.0,2,19.0,18,search,0
2000000.0,5,16.0,13,advertising|mobile|mobile advertising|optimization,0
2000000.0,1,18.0,13,fashion,0
3100000.0,2,12.0,11,consulting|recruiting,0
20000000.0,1,20.0,12,human resources,0
40000000.0,1,37.0,14,biotechnology,0
442457.0,3,16.0,13,social media,0
4260000.0,1,17.0,17,mobile,0
4845819.0,1,16.0,17,SaaS,0
2000000.0,1,12.0,12,real estate,0
3356695.0,1,19.0,12,EdTech,0
2000000.0,1,14.0,14,3d|rapidly expanding,0
500000.0,1,26.0,16,analytics,0
3409315.0,1,49.0,13,SaaS,0
3500000.0,2,13.0,12,SaaS,0
4211031.0,6,20.0,12,clean technology,0
825000.0,1,13.0,13,SaaS,0
263400.0,1,18.0,19,music|video editing|web development,1
720000.0,2,12.0,11,FinTech,0
2000000.0,1,15.0,12,FinTech,0
24750000.0,1,47.0,11,oil & gas,0
400988.0,3,29.0,12,biotechnology,0
1770000.0,1,25.0,21,SaaS,0
4540000.0,1,27.0,20,SaaS,0
4400000.0,2,29.0,17,curated web,1
2700000.0,1,38.0,13,automotive|clean technology|energy|technology,0
2000000.0,1,16.0,12,SaaS,0
600000.0,1,20.0,17,audiobooks|bridging online and offline|e-books,0
3355282.0,1,17.0,12,FinTech,0
875000.0,5,12.0,12,e-commerce|fashion|women,0
900000.0,1,13.0,13,apps|social network media,0
6790000.0,2,35.0,15,HealthTech,0
6000000.0,1,37.0,11,SaaS,0
375000.0,1,22.0,14,business services,0
25000.0,1,19.0,19,advertising,1
20000.0,1,13.0,11,real estate,0
78799653.0,2,28.0,14,biotechnology|events,0
147000.0,1,17.0,15,b2b|marketplaces|services|social media,0
2000000.0,1,16.0,12,biotechnology,0
805908.0,1,25.0,19,biotechnology,1
10207905.0,4,16.0,11,biotechnology,0
2000000.0,1,30.0,23,curated web|textbooks,0
90000.0,1,13.0,13,fashion,0
2000000.0,3,14.0,12,AI,0
2000000.0,1,14.0,12,design|eda tools|semiconductors,0
12850000.0,3,13.0,11,biotechnology,0
19148000.0,5,17.0,12,e-commerce,0
2000000.0,1,16.0,16,HealthTech,0
39610000.0,3,26.0,12,biotechnology,0
2000000.0,1,32.0,11,business services|outsourcing,0
2250180.0,1,15.0,15,biotechnology,0
60000.0,1,16.0,12,fashion,0
1500000.0,1,17.0,14,HealthTech,0
225081113.04000014,4,26.0,12,HealthTech,0
21000000.0,3,18.0,11,HealthTech,0
30000.0,1,12.0,12,employment|marketplaces|services,0
6467283.0,1,18.0,15,curated web|privacy,0
12853396.0,3,18.0,11,HealthTech,0
50000.0,1,11.0,11,biotechnology|robotics|technology,0
2000000.0,1,14.0,14,HealthTech,0
3986362.0,1,16.0,12,HealthTech,0
26898770.0,10,16.0,11,SaaS,0
500000.0,1,28.0,18,MarTech,0
150000.0,1,17.0,13,MarTech,0
42980577.0,7,15.0,11,biotechnology,0
17500000.0,4,12.0,11,FinTech,0
12005448.0,5,21.0,14,SaaS,0
1273000.0,1,19.0,15,SaaS,0
12000000.0,1,17.0,16,biotechnology,0
250000.0,1,12.0,11,local|services|translation,0
3000000.0,1,18.0,12,big data|cloud computing|infrastructure|mobile|wireless,0
186036236.0,6,25.0,12,biotechnology,0
1000000.0,1,47.0,47,SaaS,0
1000000.0,1,12.0,12,home automation|home owners|security,0
2518000.0,4,15.0,11,real estate|search,0
3705137.0,1,33.0,17,design|manufacturing|semiconductors,0
225081113.04000014,2,19.0,16,clean technology|solar,1
3000000.0,2,13.0,11,FinTech,0
17087500.0,3,13.0,12,curated web|identity|identity management,0
275166.0,1,15.0,15,communities|image recognition|internet|public relations,0
4439407.0,6,16.0,11,contact management|curated web|events,0
2000000.0,1,14.0,12,analytics|business services|small and medium businesses|social network media|visualization,0
7618249.0,3,20.0,17,curated web,0
13600000.0,2,24.0,21,SaaS,0
1737170.0,1,27.0,22,information security|security,0
450000.0,1,18.0,15,SaaS,0
2810000.0,3,16.0,12,HealthTech,0
14000000.0,2,12.0,11,FinTech,0
2000000.0,1,34.0,11,electrical distribution|electronics|manufacturing,0
1500000.0,1,14.0,12,content discovery|hospitality|restaurants|social media platforms,0
225081113.04000014,1,76.0,20,EdTech,0
50000.0,1,19.0,16,EdTech,0
132500.0,1,17.0,14,HealthTech,0
2000000.0,1,13.0,12,HealthTech,0
4500000.0,2,18.0,13,clean technology,0
661000.0,1,19.0,16,clean technology|energy|oil,0
200000.0,1,14.0,12,SaaS,0
1220000.0,2,16.0,13,crowdsourcing|curated web|sports,0
231884.0,1,14.0,14,all students|career management|social network media,0
1663801.11900538,2,19.0,11,biotechnology,0
28364818.0,10,20.0,12,HealthTech,0
1400000.0,1,31.0,11,engineering firms|environmental innovation|technology,0
2000000.0,1,16.0,16,SaaS,0
4545754.0,1,17.0,13,FinTech,0
60000.0,1,18.0,16,e-commerce,1
45000.0,1,15.0,12,e-commerce|fashion|lifestyle,0
1300000.0,1,17.0,13,SaaS,0
2000000.0,1,17.0,14,curated web,0
64640151.5803158,2,24.0,11,biotechnology,0
396998.0,1,14.0,14,SaaS,0
39279460.0,2,23.0,12,biotechnology,0
10000000.0,1,42.0,17,e-commerce,0
15000.0,1,14.0,14,apps|gamification|ios|mobile,0
23000000.0,2,17.0,13,web hosting,0
762000.0,1,14.0,13,SaaS,0
2338650.0,1,16.0,13,HealthTech,0
33500000.0,2,20.0,13,biotechnology,0
225081113.04000014,3,33.0,14,business services|intellectual asset management|licensing,0
368000.0,1,23.0,21,semiconductors,0
3300.0,1,12.0,12,bitcoin|cloud computing|trading,0
11017508.0,1,15.0,12,EdTech,0
17800000.0,4,18.0,13,social media,0
4499999.0,1,21.0,14,consulting,0
2000000.0,1,18.0,18,EdTech,0
10000000.0,1,22.0,17,EdTech,0
2000000.0,1,15.0,14,EdTech,0
50000.0,1,15.0,15,social media,0
2000000.0,1,22.0,22,EdTech,0
34000000.0,2,17.0,11,FinTech,0
100000000.0,1,11.0,11,internet of things|mobile|operating systems|wearables,0
2000000.0,1,13.0,11,coffee|internet of things,0
16424363.0,3,22.0,15,clean technology,0
10720178.0,1,36.0,12,information technology,0
142367.0,3,14.0,12,EdTech,0
4710960.0,1,17.0,13,HealthTech,0
5000000.0,2,13.0,11,AI,0
25090000.0,1,29.0,18,energy|mining technologies,0
25478613.0,1,24.0,12,e-commerce,0
31040000.0,3,22.0,16,business services|enterprises|mobile|networking|telecommunications,0
1270000.0,1,22.0,19,SaaS,0
25000.0,3,14.0,11,HealthTech,0
